71nl 1ds 200gp 10sm	תקינו ליה רבנן
22nl 2ds 670gp 10sm	אפלו נהמא חמימא דחיטי בזיתי לא אכל٠
92nl 2ds 670gp 10sm	ואימא "בשתייה"٠
03nl 2ds 670gp 10sm	דומיא "דשמן٠ מה שמן" מאבראי "אף" הכא נמי
13nl 2ds 670gp 10sm	מאבראי٠ והא תנא איפכא קא נסיב לה٠
72nl 1ds 770gp 10sm	עבדת איבעי לך למעבד כדמפקדת٠ שנית {לא} איבעי לך לשנויי לגמרי٠
82nl 1ds 770gp 10sm	ועוד לית לך "אין משיבין על הקלקלה"٠
92nl 1ds 770gp 10sm	אתיוה "לשר מלכות פרס" שמיש בדוכתיה٠
53nl 1ds 770gp 10sm	אמ׳ להו٠ כתובו לי ישראל באכרגא٠ כתבו ליה٠ כתובו לי רבנן באכרגא٠
63nl 1ds 770gp 10sm	כתבו ליה٠ כי מטא למיחתמה לאיגרתא פתח גבריאל ואמ׳ ٠٠٠
93nl 1ds 770gp 10sm	ליכא דאשגח ביה٠ הדר אמ׳٠
34nl 1ds 770gp 10sm	על٠ חזייה דהוה נקיט לה לאיגרתא בידיה٠ בעא למימרטה מיניה٠ בלעה٠ והיינו דבשני
64nl 1ds 770gp 10sm	פרסאי איכא דיהיב אכרגא ואיכא דלא יהיב אכרגא٠ באגרא דשמיש עשרין וחד יומא יהבו ליה עשרין וחד מלכא ופחותא דמשמהיג٠
74nl 1ds 770gp 10sm	עוי עוי٠ וליכא דאשגח ביה٠ ואיבעית אימא "רחיצה" דאיקרי "עינוי" מהכא٠
15nl 1ds 770gp 10sm	ממאי٠ לאו "מרחיצה"٠ ודילמא מחולשא דאורחא٠
55nl 1ds 770gp 10sm	ודילמא מסוסיא ומטרקא٠
26nl 1ds 770gp 10sm	"תשמיש המיטה" מנא לן דאיקרי "עינוי"٠
30nl 2ds 770gp 10sm	אימא٠ אידי ואידי "מצרות"٠
61nl 2ds 770gp 10sm	מאי טעמא٠ משום סיבתא٠
71nl 2ds 770gp 10sm	איבעיא להו٠
81nl 2ds 770gp 10sm	רבה לגבי תלמידא מאי ٠٠٠ אנא חזיתיה
91nl 2ds 770gp 10sm	לזעירי דעבר לגביה דרב חייא בר אשי תלמידיה٠ רב אשי אמ׳٠ רב
02nl 2ds 770gp 10sm	חייא בר אשי הוה דעבר לגביה דזעירי רביה٠ רבה שרא להו לבני עבר ימינא
12nl 2ds 770gp 10sm	למעבר עד צואריהו במיא ונטורי פירי٠ אמ׳ ליה אביי٠ תניא דמסייעא לך٠
22nl 2ds 770gp 10sm	רב יוסף שרא להו לבני ביתרכו למיתא לפירקא٠ למיזל לא שרא להו٠
52nl 2ds 770gp 10sm	ואיכא דאמרי٠ שרא להו למיתא ומיזל٠ בשלמא למיתא "למצוה"٠ אלא למיזל אמאי٠
62nl 2ds 770gp 10sm	רב יהודה ורב שמואל בר יהודה הוו קימי אגידא
72nl 2ds 770gp 10sm	דנהר פפא אמברא דחצידר והוה קאי רמי בר פפא בהך גיסא٠ רמא להו
82nl 2ds 770gp 10sm	קלא٠ מהו למעבר ומיתא לקמי רבנן ומשאל שמעתא٠
53nl 2ds 770gp 10sm	שני ההוא נחלא דרדפי מייה٠
63nl 2ds 770gp 10sm	מאי "סחו" ٠٠٠ שיטא "שכן בבבל קורין" לשייטא סחוא٠
83nl 2ds 770gp 10sm	"וצי אדיר לא יעבירנו"٠ מאי משמעא٠ כדמתרגם רב יוסף٠ "לא תיזיל ביה ספינת ציודין ובורני רבתא לא תגוזיניה"٠
14nl 2ds 770gp 10sm	ר׳ חונא ציפוראה
90nl 1ds 870gp 10sm	ולית הילכתא כותיה٠ תינח "ביום הכיפורים" דליכא "מנעל٠ בשבת"
01nl 1ds 870gp 10sm	מאי٠ אמ׳ ר׳ נחמיה
11nl 1ds 870gp 10sm	חתנא דבי נשיאה٠ אנא חזיתינהו לר׳ אמי ור׳ אסי דמטו ערקומא דמיא
21nl 1ds 870gp 10sm	ועברונהו למסניהו "דרך מלבוש"٠ תינח "מנעל٠ סנדל" מאי٠ אמ׳ רב רחומי٠
31nl 1ds 870gp 10sm	אנא חזיתיה לרבינא דמטא ערקומא דמיא ועברינהי לסנדליה "דרך מלבוש"٠
41nl 1ds 870gp 10sm	ריש גלותא איקלע לז֗ב֗זונתא٠ רפרם ורבנן אתו לפירקא٠
51nl 1ds 870gp 10sm	רבינא לא אתא٠ למחר בעא רפרם לאפוקי לרבינא מדעתא דריש גלותא٠ אמ׳
61nl 1ds 870gp 10sm	ליה٠ מאי טעמא לא אתא מר לפירקא٠ אמ׳ ליה٠ הוה כיבא לי כרעאי٠ איבעי
71nl 1ds 870gp 10sm	ליה למר למיסם מסניה ומיתא٠ גבא דכרעא הוה٠ איבעי ליה למר למיסם סנדליה ומיתא٠
81nl 1ds 870gp 10sm	ערקומא דמיא הואי٠ איבעי ליה למר לעבורינהו "דרך מלבוש"٠ אמ׳ ליה٠ לא
91nl 1ds 870gp 10sm	סבר לה מר "סנדל לכתחילה" לא٠
22nl 1ds 870gp 10sm	רב יהודה מצטנן בקרא٠ רבה בינוקא٠ רבא
32nl 1ds 870gp 10sm	בכסא דכספא٠ אמ׳ רבא٠ האי כסא דכספא מלי אסיר٠ חסיר שרי٠ דפחרא אפלו חסיר נמי
52nl 1ds 870gp 10sm	אסיר٠ מאי טעמא٠ שחיל٠ רב אשי אמ׳٠ דכספא נמי בין מלי בין חסיר אסיר٠ מאי טעמ׳٠ מיזדרבי٠ זעירי בר חמא אושפיזכניה דר׳ יהושע בן לוי ואושפיזכניה דר׳ אמי ור׳ אסי ואושפיזכנא
62nl 1ds 870gp 10sm	ודכולהו רבנן דקיסרי אמ׳ ליה ליוסף בריה דרבי
72nl 1ds 870gp 10sm	יהושע בן לוי٠ בר אריא٠ תא אימא לך מילתא מעליתא דהוה אמ׳ אבוך "ערב תשעה באב ٠٠٠"
43nl 1ds 870gp 10sm	אסברה לך٠ איפכא אמרת לן٠ ואותיבנך "סחיטה"٠
83nl 1ds 870gp 10sm	הדור בעו מיניה
80nl 2ds 870gp 10sm	רב יהודה נפיק בדחיטני٠ אביי נפיק
90nl 2ds 870gp 10sm	בדהוצי٠ רבא בדכולי٠ רבה בר רב
01nl 2ds 870gp 10sm	הונא כריך סודריה אכרעיה ונפיק٠
51nl 2ds 870gp 10sm	ואי לאו מנא הוא٠ "כתיתין" משוי ליה מנא٠
71nl 2ds 870gp 10sm	והא רבה בר רב הונא כריך סודריה
81nl 2ds 870gp 10sm	אכרעיה ונפיק٠ ועוד٠ הא מדקתני סופה ٠٠٠
91nl 2ds 870gp 10sm	מכלל
02nl 2ds 870gp 10sm	דרישא בדלית ביה "כתיתין" עסקינן٠
12nl 2ds 870gp 10sm	דכולי עלמא٠ מנא הוא٠ והכא הינו טעמיה דר׳ יוסי٠
22nl 2ds 870gp 10sm	דילמא מישתרי ליה
32nl 2ds 870gp 10sm	ואתי לאיתויי "ארבע אמות ברשות הרבים"٠
62nl 2ds 870gp 10sm	דאמרי٠ אינשיהו עבדי להו٠ "רחיצה וסיכה" נמי אמרי٠ אינשיהו
72nl 2ds 870gp 10sm	עבדי להו٠ אלא הנך אמרי٠
82nl 2ds 870gp 10sm	מאיתמל עבדי להו٠ "נעילת הסנדל" נמי אמרי٠
92nl 2ds 870gp 10sm	מאיתמל עבדי להו٠ "נעילת הסנדל" מאיתמל ליכא٠ דאמ׳
03nl 2ds 870gp 10sm	שמואל٠ האי מאן דבעי למיטעם טעמא
13nl 2ds 870gp 10sm	דמיתותא ניסום מסני וניגני٠
23nl 2ds 870gp 10sm	אלא הנך כיון דהינו רביתיה לא
33nl 2ds 870gp 10sm	גזרו
43nl 2ds 870gp 10sm	בהו רבנן٠ אמרה לי אים٠ רביתיה
53nl 2ds 870gp 10sm	דינוקא חמימי ומשחא٠ גדל
63nl 2ds 870gp 10sm	בעתא בכותחא٠ גדל תבורי מני٠
73nl 2ds 870gp 10sm	רבה זבין להו לבניה מני גזיזי ומתברי٠
60nl 1ds 970gp 10sm	"לחה שיבולת" מיקריא "בלא קליפתה ערסן"
90nl 1ds 970gp 10sm	קים להו לרבנן דבציר מהכי לא
01nl 1ds 970gp 10sm	מיתבא דעתיה٠
70nl 2ds 970gp 10sm	הינו דאמרי אינשי٠
80nl 2ds 970gp 10sm	תרי קבי תמרי קבא דקשייתא וסרח٠
90nl 2ds 970gp 10sm	התם הינו טעמא٠ משום דהוו ליה
01nl 2ds 970gp 10sm	פירי٠ ופירי לא בעו "סכה"٠
81nl 2ds 970gp 10sm	ואי סלק׳ דעת׳٠ פירי
91nl 2ds 970gp 10sm	בעו "סוכה"٠ נישלים בפירי٠
02nl 2ds 970gp 10sm	באתרא דלא שכיחי
12nl 2ds 970gp 10sm	פירי٠ ואי בעית אימא٠ מאי "מיני תרגימה" נמי דקאמ׳٠ פירי٠ מנא אמינא לה٠
52nl 2ds 970gp 10sm	ואנא אמינא ٠٠٠ אלא למאי הילכתא כתבינהו רחמנא٠
92nl 2ds 970gp 10sm	מכדי בית שמאי אשיעורא דנפיש "מכזית" קא מהדרי٠ נימרו "כביצה"٠
03nl 2ds 970gp 10sm	ואי נמי כי הדדי נינהו נימרו "כביצה"٠
23nl 2ds 970gp 10sm	חדא מיניהו נקט٠
43nl 2ds 970gp 10sm	"ואכלת ושבעת" חדא מילתא היא٠
63nl 2ds 970gp 10sm	ואי סלקא דעתא ٠٠٠ השתא "כביצה" שבועי
73nl 2ds 970gp 10sm	משבעא٠ דעתא לא מיתבא٠ אלא שמע מינה ٠٠٠ סבועי נמי
83nl 2ds 970gp 10sm	משבעא٠ "ככותבת" מיתיב דעתא٠
31nl 1ds 080gp 10sm	ואימא בעתא
41nl 1ds 080gp 10sm	דציפרתא٠ ר׳ אבהו דידיה אמ׳٠
52nl 1ds 080gp 10sm	אלא דאמרי٠ עד דאכיל "כזית גדול" לא מיחייב٠ ולמאי
62nl 1ds 080gp 10sm	דסליק אדעתין מעיקרא דמכי אכיל "כזית קטן" דמיחייב٠
92nl 1ds 080gp 10sm	"עונשין" מיכתב
03nl 1ds 080gp 10sm	כתיבי٠
34nl 1ds 080gp 10sm	מי אלימא ממתניתין דקתני "מלוא לוגמיו"٠
44nl 1ds 080gp 10sm	ואוקימנה "כמלוא לוגמיו"٠
54nl 1ds 080gp 10sm	אי הכי הינו ר׳ יהודה٠ איכא ביניהו٠ "מלא לוגמיו דחוק"٠
64nl 1ds 080gp 10sm	מתקיף לה רב הושעיה٠ אי הכי הוה ליה "מקולי ٠٠٠ הלל" ניתנייה גבי "קולי בית שמאי ٠٠٠"
10nl 2ds 080gp 10sm	כי איתשיל "בעוג מלך הבשן" איתשיל٠ דהוה
20nl 2ds 080gp 10sm	להו בית שמאי לחומרא٠ וכולי עלמא "ככותבת"٠
50nl 2ds 080gp 10sm	קים להו לרבנן "דככותבת" מיתיב
60nl 2ds 080gp 10sm	דעתא "עוג מלך הבשן" פורתא٠ כלי עלמא טובא٠
01nl 2ds 080gp 10sm	קים להו לרבנן "דככותבת" מיתב דעתא٠ "בשר שמן"
21nl 2ds 080gp 10sm	טובא "לולבי גפנים" פורתא٠
31nl 2ds 080gp 10sm	מאי שנא "אכילה" דלכולי על׳ "ככותבת"٠ ומאי שנא "שתייה" דכל חד וחד "מלא לוגמיו" דידיה٠
41nl 2ds 080gp 10sm	קים להו לרבנן "דאכילה ככותבת"
51nl 2ds 080gp 10sm	מיתיב דעתא דכולי עלמא "שתייה"٠ אי איכא לכל חד וחד "מלוא לוגמיו" דידיה מיתבא דעתיה٠ ואי לא
61nl 2ds 080gp 10sm	לא מיתבא דעתיה٠
91nl 2ds 080gp 10sm	קים להו לרבנן "דכזית בכדי אכילת פרס אכילה" היא٠ "בכותבת"
02nl 2ds 080gp 10sm	נמי אי "אכילה" בכי האי שיעורא מיתבא דעתא٠ ואי לא לא מיתבא דעתא٠
32nl 2ds 080gp 10sm	לאו דאוריתא٠
62nl 2ds 080gp 10sm	וקרא אסמכתא בעלמא٠
72nl 2ds 080gp 10sm	אכל אומצא ומילחא מצטרף٠ פשיטא٠ מהו דתימא٠
82nl 2ds 080gp 10sm	לאו אוכלא הוא٠ קא משמע לן٠
03nl 2ds 080gp 10sm	פשיטא٠ מהו דתימא "משקה"
13nl 2ds 080gp 10sm	הוא٠ קא משמע לן٠ כל אכשורי אוכלא כאוכלא דמי٠
31nl 1ds 180gp 10sm	הכא בהאי מייתבא דעתא٠ בהאי לא
41nl 1ds 180gp 10sm	מייתבא דעתא٠
12nl 1ds 180gp 10sm	משום דלא איפשר٠ היכי ניכתוב٠ ניכתוב "לא תאכל"
22nl 1ds 180gp 10sm	ניכתוב "לא תענה"٠
32nl 1ds 180gp 10sm	וניכתוב "אם כן" נפישי להו לאוי٠
62nl 1ds 180gp 10sm	ותנא מייתי לה מהכא٠ ותיתי "בקל וחומר"٠
54nl 1ds 180gp 10sm	תנא "בעצם" "בעצם" גמיר "מפנה"
64nl 1ds 180gp 10sm	דאי לא "מפנה" איכא למפרך٠ לאיי אפנויי מפנה٠ מאי מפני٠ תלתה "בעצם" כתיבי הדר שננהו٠ אלא חמשה קראי כתיבי "במלאכה"٠ חד "לעונש"
74nl 1ds 180gp 10sm	דיממא٠ וחד "לעונש" דליליא٠ וחד "לאזהרה" דיממא٠ וחד "לאזהרה" דליליא٠ אייתר ליה חד לאקושי "עינוי למלאכה"٠
84nl 1ds 180gp 10sm	בין "לעונש" בין "לאזהרה"٠ בין דיממא בין דליליא٠
10nl 2ds 180gp 10sm	הוא גופיה איקרי "שבת"
30nl 2ds 180gp 10sm	קרא גופיה עדיף٠
32nl 2ds 180gp 10sm	כס פילפלי
42nl 2ds 180gp 10sm	ביומא "פטור٠" כס זנגבילא ביומא
52nl 2ds 180gp 10sm	"פטור"٠
13nl 2ds 180gp 10sm	לא קשיא٠ הא ברטיבתא٠
23nl 2ds 180gp 10sm	הא ביבישתא٠ הא חמלתא דאתיא
33nl 2ds 180gp 10sm	מבי הינדואי שריא٠ ומברכינן עלה "בורא פרי האדמה"٠ התם נמי ברטיבתא٠
53nl 2ds 180gp 10sm	יצחק מגדלאה٠
93nl 2ds 180gp 10sm	דרש גדול בר מנשי בבי ברי דנרש٠
04nl 2ds 180gp 10sm	לית הילכתא כרבי٠ אייתו כולי עלמא חלא٠ מזוג אישתו٠
14nl 2ds 180gp 10sm	אמ׳ להו٠ אימור דאמרי אנא٠ חיא٠ מזיגא מי אמרי٠ אימור
24nl 2ds 180gp 10sm	דאמרי אנא דיעבד٠ "לכתחילה" מי אמרי٠
30nl 1ds 280gp 10sm	השתא "לפני שנה"
40nl 1ds 280gp 10sm	מחנכינן٠ "לפני שתים" מיבעיא٠
01nl 1ds 280gp 10sm	"בן אחת עשרה ובן שנים עשרה משלימין"
11nl 1ds 280gp 10sm	מדרבנן٠ "בן שלוש עשרה" מדאורייתא٠
42nl 1ds 280gp 10sm	תרי חינוכי הוו٠
10nl 2ds 280gp 10sm	"ורוצח" גופיה מנא לן٠ סברא הוא٠ כי הא٠ דההוא
20nl 2ds 280gp 10sm	דאתא לקמיה דרבה٠ אמ׳ ליה٠ אמ׳ לי
30nl 2ds 280gp 10sm	מרי דידי קטליה לפלניא٠ ואי לא קטילנא לך٠
40nl 2ds 280gp 10sm	אמ׳ ליה٠ ניקטלך ולא תקטול٠ מאי חזית דדמך
50nl 2ds 280gp 10sm	סומק טפי٠ דילמא דמא דחברך סומק טפי٠
60nl 2ds 280gp 10sm	ההיא "עוברה" דאתאי קמיה דרבי٠ אמ׳
70nl 2ds 280gp 10sm	להו٠ לחישו לה דיומא דכיפורי הוא٠ לחשו
80nl 2ds 280gp 10sm	לה٠ אילחיש٠ קרי עליה
90nl 2ds 280gp 10sm	נפק מינה ר׳ יוחנן٠ ההיא "עוברה"
01nl 2ds 280gp 10sm	דאתאי לקמיה דר׳ חנינא٠ אמ׳ להו٠ לחישו לה דיומא דכפורי הוא٠ לחשו לה ולא אילחיש٠ קרי עלה ٠٠٠
10nl 1ds 380gp 10sm	נפק מינה שבתאי עצר
20nl 1ds 380gp 10sm	פירי٠
50nl 1ds 380gp 10sm	פשיטא٠ מהו דתימא "רופא" קים ליה טפי٠
60nl 1ds 380gp 10sm	פשיטא٠ מהו דתימא "חולה" קים ליה טפי٠
01nl 1ds 380gp 10sm	הכא במאי עסקינן٠ דאמ׳٠ לא
11nl 1ds 380gp 10sm	צריך٠ וניספי ליה "על פי בקי"٠
21nl 1ds 380gp 10sm	כגון דאיכא אחרינא בהדיה דאמ׳٠ לא צריך٠
31nl 1ds 380gp 10sm	אי הכי "על פי בקיאין"٠ פשי׳٠ תרי ותרי נינהו "וספק נפשות להקל"٠
41nl 1ds 380gp 10sm	לא צריכא٠ דאיכא
51nl 1ds 380gp 10sm	בתרי אחריני בהדיה דאמרי٠ לא צריך٠ ואף על גב
61nl 1ds 380gp 10sm	דאמ׳ רב ספרא٠ כי אמרינן٠ תרי כמאה ומאה כבתרי٠ הני מילי "לענין עדות٠ אבל"
71nl 1ds 380gp 10sm	לענין אומדנא٠ בתר "דיעות" אזלינן٠ הני מילי אומדנא
81nl 1ds 380gp 10sm	דממונא٠ אבל הכא "ספק נפשות להקל"٠ והא מדקתני סופה
91nl 1ds 380gp 10sm	מכלל דבידאמ׳٠ צריכנא٠ עסקינן٠ חסורי מחסרא והכי
02nl 1ds 380gp 10sm	קתני٠ תרי דאמרי٠ לא צריך٠ אלא חד "מאכילין אותו על פי עצמו"٠
22nl 1ds 380gp 10sm	כל היכא דאמ׳ "צריך אני"٠ אפלו איכא בי מאה נמי דאמרי٠ לא צריך٠ לדידיה שמעינן٠
42nl 1ds 380gp 10sm	מכלל דכי איכא "בקיאין٠ לבקיאין" שמעינן٠
53nl 1ds 380gp 10sm	"טבל ותרומה" תנאי היא٠
63nl 1ds 380gp 10sm	היכא דאיפשר "בחולין" דכולי עלמא
73nl 1ds 380gp 10sm	לא פליגי٠ כי פליגי דלא אפשר "בחולין"٠
83nl 1ds 380gp 10sm	מר סבר "טבל" חמיר٠ ומר סבר "תרומה" חמירא٠ לישנא דכלא٠ מר סבר "טבל" חמיר "אבל תרומה"
93nl 1ds 380gp 10sm	חזיא "לכהן"٠ ומר סבר "תרומה" חמירא٠ "אבל טבל" איפשר לתקוניה٠
40nl 2ds 380gp 10sm	ומר סבר "טבל" חמיר٠ ומר סבר "תרומה" חמירא٠
31nl 2ds 380gp 10sm	"מעשר דגן" דאוריתא אפלו רבי נמי מודי "מטבל" חמיר٠
02nl 2ds 380gp 10sm	דהתם לאו בולמוס הוה٠
22nl 2ds 380gp 10sm	"אבל קודם אכילה" מיגרד גריד٠
52nl 2ds 380gp 10sm	אפלו קימחא דשערי בדובשא٠
72nl 2ds 380gp 10sm	ר׳ יהודה ור׳ יוסי הוו קאזלי באורחא٠ אחדיה בולמוס לר׳
82nl 2ds 380gp 10sm	יהודה٠ אכפיה לרועה ואכלה לריפתיה٠ כי מטו למתא אחדיה בולמוס לר׳ יוסי٠
92nl 2ds 380gp 10sm	הדרוה {{פ}}^ב^לוגי וצאעי٠ ר׳ מאיר ור׳ יהודה ור׳
03nl 2ds 380gp 10sm	יוסי הוו קאזלי באורחא٠ מטו ההוא
13nl 2ds 380gp 10sm	דוכתא٠ בעו אושפיזא٠ אמרי ליה٠ מאי שמך٠ אמ׳ להו٠ כידור٠
23nl 2ds 380gp 10sm	ר׳ יהודה ור׳ יוסי אשלימו ליה כיסיהו٠ ר׳ מאיר לא אשלים ליה٠ למחר אמרו ליה٠ {{ל֗ר֗׳}} ^הב^ לן כיסן٠ אמ׳ להו٠ "לא היו דברים מעולם"٠ מר מאי טעמא לא אשלים ליה٠ אמ׳ להו٠ כיון דאמ׳ לי דכידור שמיה٠ אמינא "כי דור תהפכות המה בנים לא אמן בם"٠
53nl 2ds 380gp 10sm	אמרי ליה٠ מאי טעמא לא אמ׳ לן מר٠ אמ׳
63nl 2ds 380gp 10sm	להו٠ אימור דאמרי אנא מיחש ליה٠ אחזוקיה נמי לא٠ ניעביד לן מר תקנתא٠ עב֗{{ב}}^ד^֗ להו תקנתא٠ מכאן ואילך אינהו נמי הוו בדקי٠ יומא חד הוו קאזלי באורחא٠ בעו אושפיזא٠ אמרי ליה٠ מאי שמך٠ אמ׳ להו٠
10nl 1ds 480gp 10sm	למיקטליה "בדבר הנזרק"٠
30nl 1ds 480gp 10sm	דחייף ביה מיסתכן٠ דנכית ליה מיית٠
40nl 1ds 480gp 10sm	דחייף ביה מאי תקנתיה٠ נישלח נישדינהו
50nl 1ds 480gp 10sm	למאניה ונירהיט٠ רב הונא בריה דרב יהושע
60nl 1ds 480gp 10sm	חף ביה חד מיניהו בשוקא٠ שלחינהו שדנהו למניה
70nl 1ds 480gp 10sm	ורהיט٠
80nl 1ds 480gp 10sm	דנכית ליה מיית٠ מאי תקנתיה٠ אמ׳
90nl 1ds 480gp 10sm	אביי٠ ניתי משכא דאפא דאפא דיכרא וניכתוב
01nl 1ds 480gp 10sm	עליה٠ אנא פלניא בר פלניתא משכא
11nl 1ds 480gp 10sm	דאפא דאפא דיכרא כתיבנא עלך٠
31nl 1ds 480gp 10sm	ונישלחינהו למאניה וניקברינהו
41nl 1ds 480gp 10sm	תרי עשר ירחי שתא٠ ולבתר תריסר ירחי שתא נפקינהו וניקלינהו וניבדריה לקיטמיהו "אפרשת דרכים"٠
51nl 1ds 480gp 10sm	והנך תריס׳ ירחי שתא כי שתי מיא לא נישתי אלא בגובתא٠
61nl 1ds 480gp 10sm	דילמא חזי ליה ומסתכן٠ אבא בר מרת
71nl 1ds 480gp 10sm	דהוא אבא בר מיניומי עבדא ליה אימיה גוריא דדהבא٠
81nl 1ds 480gp 10sm	ר׳ יוחנן חש בצפדינא٠ אזל לגבה דההיא מטרוניתא٠ עבדא ליה
91nl 1ds 480gp 10sm	חמשה ומעלי שבתא٠ אמ׳ לה٠ למחר מאי٠ אמרה ליה٠ לא צריכת٠ ואי
02nl 1ds 480gp 10sm	מיצטריכנא מאי٠ אישתבע לי דלא מגלית٠
12nl 1ds 480gp 10sm	לא מגלינא٠ למחר דרשה בפירקא٠ והא אישתבע לה٠ "לאלהי ישראל"
22nl 1ds 480gp 10sm	לא אמינא٠ לעמיה אמינא٠ והא קא חשדא ליה٠ דגלי לה מההיא שעתא٠
72nl 1ds 480gp 10sm	מאי סימניה٠ רמי {{֗ד֗מא}} בככיה ואתי ליה דמא מיד֗ד֗ריה٠ ממאי הוי٠ מחמימי חמימי דחיטי ומקרירי קרירי דשערי ומשיורי כסא
82nl 1ds 480gp 10sm	דהרסנא٠
32nl 1ds 480gp 10sm	מאי עבדי ליה٠
42nl 1ds 480gp 10sm	משחא דאווזא בגדפא דאווזא٠ אמ׳ אביי٠ אנא עבדתינהי לכולהי ולא איתסאי עד דאמ׳ לי ההוא טייעא٠
62nl 1ds 480gp 10sm	איתי קשיאתא דזיתא ודביק٠ בד{{ד}}<ר>ריה٠ עבדי הכי ואיתסאי٠
23nl 1ds 480gp 10sm	נימא מסייע לי٠
53nl 1ds 480gp 10sm	מאי לאו אתרתי קמייתא ולמעוטי "סם" לא٠ אכולהי ולמעוטי
63nl 1ds 480gp 10sm	"סרונכי"٠ הכי נמי מסתברא٠ מאי לאו אתרתי קמייתא ולמעוטי "סרונכי"٠ לא٠ אתרתי בתרייתא ולמעוטי "סם"٠
90nl 2ds 480gp 10sm	מתניתין
01nl 2ds 480gp 10sm	נמי דיקא٠
31nl 2ds 480gp 10sm	נירבינהי וניתנ{{י}}^נ^הי וניפלגו٠
71nl 2ds 480gp 10sm	היכי דמי٠ כגון דאמדוה לתמניא יומי ויומא
81nl 2ds 480gp 10sm	קמא שבתא٠ דמהו דתימא٠ נינטר ליה עד לאורתא כי היכי דלא נחיל עליה תרתי
91nl 2ds 480gp 10sm	שבתתא٠ קא משמע לן٠
72nl 2ds 480gp 10sm	ואף על גב דקא מסיק כוורי٠
82nl 2ds 480gp 10sm	ואף על גב עביד
92nl 2ds 480gp 10sm	חוקי٠
03nl 2ds 480gp 10sm	ואף על גב דקא עביד בשופי٠
13nl 2ds 480gp 10sm	ואף על גב דקא ממכיך٠
23nl 2ds 480gp 10sm	וכולי הני למה לי٠ וצריכי٠ דאי אשמעינן "ים" דאי שביק ליה פורתא מיית٠ "אבל בור"
33nl 2ds 480gp 10sm	דאיתיה קמיה٠ אימא נינטר ליה עד אורתא٠ ואי אש֗מ֗עינן "בור"٠ דדילמא מיית מחבלא דבורא
43nl 2ds 480gp 10sm	"אבל ננעלה דלת לפני תינוק" דאיפשר דיתיב אבבא ומשביש ליה٠ אימא לא٠ קא משמע לן٠
53nl 2ds 480gp 10sm	למה לי٠ סופה איצטריכא ליה "ואפילו בחצר אחרת"٠
63nl 2ds 480gp 10sm	היכי דמי٠ אינימא דקימי "תשעה ٠٠٠ ביניהם"٠
73nl 2ds 480gp 10sm	רובא "ישראל" נינהו٠ אי נמי פלגא ופלגא٠ "ספק נפשות להקל"٠ ואלא דקימי "תשעה ٠٠٠ ביניהם"٠
93nl 2ds 480gp 10sm	הוה ליה "ישראל קבוע" ٠٠٠ לא צריכא٠ דפריש "לחצר אחרת"٠
04nl 2ds 480gp 10sm	מהו דתימא٠ כל דפריש מרובא פריש٠ קא משמע לן٠
14nl 2ds 480gp 10sm	איני٠
24nl 2ds 480gp 10sm	לא קשיא٠ הא דפרוש
34nl 2ds 480gp 10sm	כולהו٠ הא דפרוש מקצתיהו٠
10nl 1ds 580gp 10sm	כי איתמר
20nl 1ds 580gp 10sm	דשמואל ארישא איתמר٠
40nl 1ds 580gp 10sm	למאי הילכתא٠ "להאכילו נבילות"٠
60nl 1ds 580gp 10sm	למאי הילכתא٠ "להחזיר לו אבידה"٠
80nl 1ds 580gp 10sm	היכי דאמי٠ אינימא דנגחיה תורא דידן
90nl 1ds 580gp 10sm	לתורא דידיה٠ ניתי "ראיה" ונישקול٠ אלא
01nl 1ds 580gp 10sm	דנגחיה תורא דידיה לתורא דידן٠ פלגא משלים٠
11nl 1ds 580gp 10sm	אידך פלגא אמ׳ ליה٠ איתי "ראיה" דלאו "ישראל" הוא ונישלים٠
31nl 1ds 580gp 10sm	וכולי הני למה٠ לא מיבעיא קאמ׳٠ לא מיבעיא דודאי איתיה٠ "וחי" הוא "דמפקחין"٠ אלא אפלו "ספק חי ספק מת" נמי "מפקחין"
61nl 1ds 580gp 10sm	ולא מיבעיא "ספק חי ספק מת"٠ דאי ודאי איתיה "וחי"٠
52nl 1ds 580gp 10sm	ואי לא שרית ליה
62nl 1ds 580gp 10sm	אתי לכבויי٠ הכא אי לא שרית ליה מאי
72nl 1ds 580gp 10sm	אתי למעבד٠
13nl 1ds 580gp 10sm	נימא כתנאי٠
53nl 1ds 580gp 10sm	אפלו תימא٠ עד כאן לא קא אמ׳
93nl 1ds 580gp 10sm	"אבל לעניין נשמה" דכולי עלמא באפיה הוא
14nl 1ds 580gp 10sm	כיון דבדק ליה {{ת}}^ר^ישיה תו לא צריך٠
41nl 2ds 580gp 10sm	אי הואי התם הוה אמנא מילתא
51nl 2ds 580gp 10sm	דעדיפא מכולהו٠ לכולהו אית להו
61nl 2ds 580gp 10sm	פירכא٠ לבר מדשמואל דלית לה פירכא٠
81nl 2ds 580gp 10sm	מימר אמ׳٠ כי אזילנא קאי לאפאי٠ ואי קאי לאפאי קטילנא ליה
91nl 2ds 580gp 10sm	אשכחן "ודאי٠ ספק" מנא לן٠
02nl 2ds 580gp 10sm	מסרינן ליה זווא דרבנן٠ אשכחן "ודאי٠ ספק"
12nl 2ds 580gp 10sm	מנא לן ٠٠٠ דכולהו נמי٠ אשכחן "ודאי٠ ספק" מנא לן٠ דשמואל ודאי לית ליה
